type	TP	TP.baseline	FP	FN	precision	recall	F1	qual	exp	method	sample	region	eval
Total	8135	8127	1068	4382	0.884	0.6497	0.749	0	chmpd	smrtsv	chmpd	all	call
INS	4479	4472	825	2794	0.8445	0.6155	0.712	0	chmpd	smrtsv	chmpd	all	call
DEL	3656	3655	243	1588	0.9377	0.6971	0.7997	0	chmpd	smrtsv	chmpd	all	call
Total	8135	8127	1068	4382	0.884	0.6497	0.749	2	chmpd	smrtsv	chmpd	all	call
INS	4479	4472	825	2794	0.8445	0.6155	0.712	2	chmpd	smrtsv	chmpd	all	call
DEL	3656	3655	243	1588	0.9377	0.6971	0.7997	2	chmpd	smrtsv	chmpd	all	call
Total	8133	8125	1066	4384	0.8841	0.6495	0.7489	3	chmpd	smrtsv	chmpd	all	call
INS	4479	4472	824	2794	0.8446	0.6155	0.7121	3	chmpd	smrtsv	chmpd	all	call
DEL	3654	3653	242	1590	0.9379	0.6967	0.7995	3	chmpd	smrtsv	chmpd	all	call
Total	8119	8111	1032	4398	0.8872	0.6484	0.7492	4	chmpd	smrtsv	chmpd	all	call
INS	4473	4466	797	2800	0.8488	0.6146	0.713	4	chmpd	smrtsv	chmpd	all	call
DEL	3646	3645	235	1598	0.9394	0.6952	0.7991	4	chmpd	smrtsv	chmpd	all	call
Total	8046	8039	938	4470	0.8956	0.6427	0.7484	5	chmpd	smrtsv	chmpd	all	call
INS	4426	4420	726	2846	0.8591	0.6083	0.7123	5	chmpd	smrtsv	chmpd	all	call
DEL	3620	3619	212	1624	0.9447	0.6903	0.7977	5	chmpd	smrtsv	chmpd	all	call
Total	7917	7910	863	4599	0.9017	0.6323	0.7433	7	chmpd	smrtsv	chmpd	all	call
INS	4368	4362	680	2904	0.8653	0.6003	0.7088	7	chmpd	smrtsv	chmpd	all	call
DEL	3549	3548	183	1695	0.951	0.6767	0.7907	7	chmpd	smrtsv	chmpd	all	call
Total	7744	7738	785	4771	0.908	0.6186	0.7359	10	chmpd	smrtsv	chmpd	all	call
INS	4266	4260	627	3006	0.8719	0.5863	0.7011	10	chmpd	smrtsv	chmpd	all	call
DEL	3478	3478	158	1765	0.9565	0.6634	0.7834	10	chmpd	smrtsv	chmpd	all	call
Total	7638	7632	756	4877	0.9099	0.6101	0.7304	12	chmpd	smrtsv	chmpd	all	call
INS	4207	4201	606	3065	0.8741	0.5782	0.696	12	chmpd	smrtsv	chmpd	all	call
DEL	3431	3431	150	1812	0.9581	0.6544	0.7777	12	chmpd	smrtsv	chmpd	all	call
Total	7637	7631	755	4878	0.91	0.61	0.7304	14	chmpd	smrtsv	chmpd	all	call
INS	4206	4200	605	3066	0.8742	0.578	0.6959	14	chmpd	smrtsv	chmpd	all	call
DEL	3431	3431	150	1812	0.9581	0.6544	0.7777	14	chmpd	smrtsv	chmpd	all	call
Total	7590	7584	741	4925	0.9111	0.6063	0.7281	21	chmpd	smrtsv	chmpd	all	call
INS	4180	4174	597	3092	0.875	0.5745	0.6936	21	chmpd	smrtsv	chmpd	all	call
DEL	3410	3410	144	1833	0.9595	0.6504	0.7753	21	chmpd	smrtsv	chmpd	all	call
Total	7589	7583	741	4926	0.911	0.6062	0.728	27	chmpd	smrtsv	chmpd	all	call
INS	4180	4174	597	3092	0.875	0.5745	0.6936	27	chmpd	smrtsv	chmpd	all	call
DEL	3409	3409	144	1834	0.9595	0.6502	0.7751	27	chmpd	smrtsv	chmpd	all	call
Total	7589	7583	741	4926	0.911	0.6062	0.728	35	chmpd	smrtsv	chmpd	all	call
INS	4180	4174	597	3092	0.875	0.5745	0.6936	35	chmpd	smrtsv	chmpd	all	call
DEL	3409	3409	144	1834	0.9595	0.6502	0.7751	35	chmpd	smrtsv	chmpd	all	call
